Type,Title,URL,Content
Link,"Dolly Parton announces $1m donation to Hurricane Helene recoveryThe singer says she was ""heartbroken"" by the destruction wrought in the US by the powerful storm.30 mins agoUS & Canada",https://www.bbc.com/news/articles/cpdq65185qdo,
Link,"The racist AI deepfake that fooled and divided a communityAlmost a year after a fake clip of a high school principal went viral, the impact on an American town lingers.13 hrs agoUS & Canada",https://www.bbc.com/news/articles/ckg9k5dv1zdo,
Link,The week that pushed the Middle East closer to all-out warThere have been many moments of extreme danger over the past year. This is the worst.14 hrs agoMiddle East,https://www.bbc.com/news/articles/c0r89qwwx2lo,
Link,"Could the deaths of 20 school children help make Thailand's roads safer?Investigators found a series of safety failures following the accident, leaving the country shocked.10 hrs agoAsia",https://www.bbc.com/news/articles/c5y0jm7jpx8o,
Link,"Keeping lawns neat in front of burned homes - a year on at kibbutz where Hamas killed 101A year since scores of people were killed here, the collective is splintered - psychologically and physically.13 hrs agoMiddle East",https://www.bbc.com/news/articles/c30305l5jqpo,
Link,"Months on, Trump shooting witness still stunned by security lapseGreg Smith went viral with his account of the assassination attempt in Pennsylvania. He speaks again to the BBC.13 hrs agoUS & Canada",https://www.bbc.com/news/videos/cwy91d1g057o,
Link,The Polish artist who painted Hindu gods in Indian palacesStefan Norblin painted beautiful murals in the art deco style for Indian maharajas in the 1940s.13 hrs agoAsia,https://www.bbc.com/news/articles/c8xe17pegrno,
Link,Parkrun: The local jog that became a worldwide hit12 hrs agoEngland,https://www.bbc.com/news/articles/c80r3myl990o,
Link,Daniel Day-Lewis and Sean Bean film shoot hit by parking fine3 hrs agoCulture,https://www.bbc.com/news/articles/cvgxj1jy71zo,
Link,LIVEPremier League: Liverpool in front at Crystal Palace through early Jota goal,https://www.bbc.com/sport/football/live/cy76dplpd2vt,
Link,Tennis star and style icon Lea Pericoli dies4 hrs agoEurope,https://www.bbc.com/news/articles/c5y92qzr562o,
Link,Biden: 'I don't know' if Netanyahu is trying to sway US election12 hrs agoWorld,https://www.bbc.com/news/articles/cje3zl0dq2ko,
Link,Lebanon hospitals close as Israeli strikes hit health facilitiesThe World Health Organisation says at least 37 facilities have shut and dozens of medical staff have died.3 hrs agoMiddle East,https://www.bbc.com/news/articles/c30lj9m300vo,
Link,"Iran's leader defends strikes on Israel in rare public speechAddressing a vast crowd in Tehran, Ayatollah Khamenei says the attacks were the ""minimum punishment"".1 day agoMiddle East",https://www.bbc.com/news/articles/c04pvp5qr6no,
Link,"Missile attack on Israel lays bare deep divisions among IraniansSocial media users express a mixture of pride, uncertainty and fear after Iran's strike on Israel.2 days agoMiddle East",https://www.bbc.com/news/articles/cqjrwg9dly1o,
Link,"BBC crew run for cover after gunfire heard across Lebanon-Israel borderThey were filming on the Israeli side of the border, close to where clashes had been reported.1 day agoMiddle East",https://www.bbc.com/news/videos/cy945jr0ngqo,
Link,Israeli strike hits key road used to flee LebanonIsrael's military says the crossing point with Syria was being used by Hezbollah to smuggle in weapons.1 day agoMiddle East,https://www.bbc.com/news/articles/cx20d0r8rvro,
Link,"As communist China turns 75, can Xi fix its economy?Plans announced by officials sparked a stock market rally but economists are unsure it is enough.2 days agoBusiness",https://www.bbc.com/news/articles/c3dvrxg8mllo,
